"",latitude,longitude,station_id,name,popularity,rating,price,distance,fsq_id
0,49.262487,-123.114397,7a19c49f486d7c0c02b3685d7b240448,Mahony & Sons,0.995269,7.4,NaN,811,53eee0b9498e381a6c7eaa98
1,49.274566,-123.121817,32603a87cfca71d0f7dfa3513bad69d5,Localcoin Bitcoin ATM - Red Card Sports Bar + Eatery,0.951660,7.6,1.0,565,4b182f85f964a52085ce23e3
2,49.279764,-123.110154,6d42fa40360f9a6b2bf641c7b8bb2862,Six Acres,0.938771,8.1,1.0,582,4aa7329cf964a5203f4c20e3
3,49.260599,-123.113504,66f873d641d448bd1572ab086665a458,Sing Sing Beer Bar,0.987130,7.4,NaN,921,5c6f3cc2c03635002c74c211
4,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Victoria's Health and Organic Bar,0.090797,NaN,1.0,131,58f13221419a9e1e24489f12
5,49.270877,-123.115103,b07d513f87897cff7319a0e59d7e567c,Frankie's Italian Kitchen & Bar,0.970642,7.7,2.0,808,4dbf5ef81e72dd48b1f1a22c
6,49.268930,-123.118130,d1c9556d92f329703229fb3e33899a3b,JW Marriott Executive Lounge,0.986102,7.6,3.0,831,5a163c660a464d2e8b92d670
7,49.271721,-123.104207,95e624191c655f50e401d280cd39a9ad,Fox Cabaret,0.958381,8.1,3.0,858,531142f211d2358d5388bb3c
8,49.287214,-123.112870,3e112f9fe877e0003780386359060ae6,Fairmont Gold Lounge,0.800567,7.6,3.0,305,4c709b9d9375a093fcc80737
9,49.282409,-123.118541,6993b3dbb0758927967592ea612a2b1e,The Magnet,0.955068,8.2,NaN,539,5cc8a9f4286fda002cab9b57
10,49.287097,-123.118551,bf8408067b0e0c963f3ff526977bcef3,JOEY Burrard,0.990347,8.3,2.0,591,4aa17172f964a520904020e3
11,49.273471,-123.118016,d2244f1a81d317c76cabd65e81250835,Morrissey Irish Bar & Restaurant,0.981494,7.9,2.0,750,4aabfc16f964a520685b20e3
12,49.282758,-123.122092,0b543fc4e694fe07a54dac48bb1b3390,Steamworks Brewing Co,0.998420,8.5,2.0,814,4aa6bc27f964a520df4a20e3
13,49.286020,-123.116624,fbb1d30d7f30b049873f5be5688563d4,JOEY Burrard,0.990347,8.3,2.0,609,4aa17172f964a520904020e3
14,49.279739,-123.116251,7181df50ee1d1a05559399211382b7c8,The Vancouver Club,0.993774,8.5,NaN,846,4aaab560f964a5200c5720e3
15,49.277483,-123.114279,2ef000bc9d4650d8cc6198c4d570b19f,Devil's Elbow Ale & Smoke House,0.960475,7.7,3.0,445,54541059498ee281f01f31bd
16,49.275679,-123.116963,b7683a86874e6300fd89f4cc0b075f57,Localcoin Bitcoin ATM - Red Card Sports Bar + Eatery,0.951660,7.6,1.0,498,4b182f85f964a52085ce23e3
17,49.282759,-123.106955,3367c1e1dbf73caf7c10e4c96a92f58d,Clough Club,0.877789,7.6,3.0,107,4ecef3bb0e61efa32f596027
18,49.288444,-123.139203,1d7e73b3321ebb6713774d376247d9f9,The Calling Public House,0.980790,6.7,1.0,242,4afa7953f964a520ec1722e3
19,49.289124,-123.121960,664502c28e8147615f17b8ea355f40d0,Grain Tasting Bar,0.992442,7.7,2.0,486,506b5c37f31cd15cd744f51d
20,49.280620,-123.124820,6c24a62b5ee0a2a8014eb0dfb6d40025,Hapa Izakaya,0.927043,8.0,2.0,637,4b4fdbd2f964a520c91727e3
21,49.279938,-123.127478,fad9ebcf614dd1a72593a34072ff76f8,Lux Lounge,0.973517,7.4,2.0,225,51c28ccf498e3b117e3f7f29
22,49.273663,-123.127075,3a4131fa94946d93d3529136efd62413,The Fountainhead Pub,0.982579,7.7,2.0,689,4aa74216f964a520814c20e3
23,49.289720,-123.144028,25318ec3e06fae1397a3a2f645104149,CruiseyT,NaN,NaN,NaN,337,17f2d6789de14b63743943b4
24,49.285253,-123.134356,444991edc9550be0908f032da5e3c95f,Earls,0.981551,7.6,3.0,883,4aa72e8ef964a520284c20e3
25,49.283343,-123.131099,434b6f4e7fc30198f901b60fc905f609,Earls,0.981551,7.6,3.0,581,4aa72e8ef964a520284c20e3
26,49.284605,-123.108662,f97d5bf41f35aa181288429fb52e3488,Tap & Barrel,0.991870,8.8,2.0,834,5205bfe411d2d4fd57c20095
27,49.279821,-123.108020,fef69fb400210d861107a61db954d037,Guilt & Co,0.928242,8.0,3.0,491,4bf5f0cc004ed13a37b941a0
28,49.278004,-123.105664,9d3123425823420514b8ad410074f02d,Guilt & Co,0.928242,8.0,3.0,619,4bf5f0cc004ed13a37b941a0
29,49.279342,-123.101822,f1ca711137cde59e824167a4274df888,Brickhouse Late Nite Bistro & Bar,0.958191,7.6,1.0,242,4aa7f74ff964a520474e20e3
30,49.273833,-123.114373,4f6ebf2026d540ffe40e29a80138ad5e,Uva Wine Bar,0.952441,7.9,2.0,780,4aa7f6f2f964a520464e20e3
31,49.285260,-123.141809,be14efdc86dedd6a8cd338e78ab4e7c7,The Gazebo by English Bay,0.815037,NaN,1.0,136,4c65cfe9877595211b82db4c
32,49.281506,-123.120101,6ddeafa873279951630a00191333c45d,The Magnet,0.955068,8.2,NaN,660,5cc8a9f4286fda002cab9b57
33,49.276115,-123.114496,c7b5bec0b2f4ab9a2d3f9d837725620c,Devil's Elbow Ale & Smoke House,0.960475,7.7,3.0,569,54541059498ee281f01f31bd
34,49.272827,-123.147744,b9fd847d53fe45658fee4c46e7f562b8,Kits Beach Beer Tap House,0.600564,NaN,NaN,82,62a61aaba5a3fa1939883b92
35,49.269361,-123.137820,c2be5403b1c101e8032cf6696457200e,Storm Crow Alehouse,0.188257,6.3,2.0,678,56bd5bed498e9919a8f6c8b4
36,49.265300,-123.138110,71c064fa93cab5f0b7306e6c923b77c4,The Bimini Public House,0.954554,6.6,1.0,969,4b722eb3f964a520f1722de3
37,49.262598,-123.138921,96bf713e60bc35cc2feb5fd53a4f3471,Bombay Kitchen + Bar,0.928166,NaN,2.0,128,603b133e0d2ef05d57b35103
38,49.258940,-123.139272,8dc684732a2a25bdf63ec0ecccee4e6e,Manchester Public House Inc,0.851344,5.2,1.0,903,4da64682a86ecc5168cc7385
39,49.258763,-123.115392,686c0fdb962e26e274d81fc286c010dd,PRIVÉ Kitchen + Bar,0.946215,NaN,NaN,975,5d6c93c39448680008d5c46e
40,49.266724,-123.104824,0cf6cd1809fa7f510812f5b052f578c4,Bao Down Gastropub + Raw Bar,0.942065,7.3,2.0,343,5691d6c2498eaae856c925dc
41,49.262141,-123.101961,93c88a18c673e2c72a6afa93d6b89f18,Sing Sing Beer Bar,0.987130,7.4,NaN,203,5c6f3cc2c03635002c74c211
42,49.268269,-123.147885,8fb5ce1e34ad31de940481953aea452c,Storm Crow Alehouse,0.188257,6.3,2.0,669,56bd5bed498e9919a8f6c8b4
43,49.275717,-123.142564,aa704bfba40286bd0661b64d1f75e778,Beach Ave Bar and Grill,0.990370,NaN,2.0,505,5f667679efbc7a7b05652c68
44,49.250940,-123.101306,13021bba7bbeca1ccd8726ca17da59e6,Main Barbers Hair Design,0.523456,NaN,NaN,250,4fdd3405e4b0a5a27f9d867f
45,49.276436,-123.118770,8c9ea7f2132376859ef34fab981d6932,The Magnet,0.955068,8.2,NaN,864,5cc8a9f4286fda002cab9b57
46,49.277844,-123.120942,1d4153659a0a0a2089078c739df6737d,Notch8 Restaurant,0.989738,7.9,NaN,683,553bdde9498e4eca654a36d3
47,49.265089,-123.119425,fbb4c06b719596c21f91fd51ef6d4710,Victoria's Health and Organic Bar,0.090797,NaN,1.0,282,58f13221419a9e1e24489f12
48,49.280260,-123.135244,72c1049dfbbde7c24ec45c14f1a5ee85,The Park at English Bay,0.987034,7.2,1.0,858,4fa9855fd5fbb674a8873b8a
49,49.291909,-123.140713,00fa94ad698dc4a9e4d708d6fd32f294,Carman Fox and Friends,0.090511,NaN,2.0,544,56ddddd9498e60abdfb15106
50,49.293257,-123.138563,efa947b901a2cf85b58320b3ad26a2fe,Ahwaz Hookah House,0.918361,6.1,1.0,994,4b0e0237f964a520c95323e3
51,49.288011,-123.132006,66a53e9c32e4f5c724f9478240020142,The Fountainhead Pub,0.982579,7.7,2.0,948,4aa74216f964a520814c20e3
52,49.281170,-123.104419,97b25faf822b93fdbf72da1d594c0288,Steamworks Brewing Co,0.998420,8.5,2.0,671,4aa6bc27f964a520df4a20e3
53,49.283227,-123.120523,6c7fb9043e6df5a4cc50404581a947b9,Pourhouse Restaurant,0.971080,8.9,2.0,890,4abea310f964a520ff8e20e3
54,49.299292,-123.130281,30bf49544b1c864688b78172d42cca5e,Carman Fox and Friends,0.090511,NaN,2.0,899,56ddddd9498e60abdfb15106
55,49.295340,-123.150433,9f63cebac9073eac3e90be2b9a91b02b,"Chantell's Beer, Wine & Cocktails",0.214873,NaN,3.0,843,53b98fd3498e06cf1e6ef4d2
56,49.294318,-123.148808,9aa325529164ec68b4d96c4f1c4fc7c1,Milestone's Restaurant,NaN,NaN,NaN,953,72bf4e0bf4c24926154b4711
57,49.298657,-123.121176,e3d32ad772a5898c3b96c4d23d2cd542,Tap Shack Coal Harbour,0.950327,6.7,3.0,972,5787d8ba498e25da10f9f43d
