,POI_namerating,price_corrected,rating,Total_bikes_1km
0,Lupo-wHTXC,3.0,4.5,2024
1,Le Crocodile Restaurant-GSg5v,4.0,4.5,2024
2,Guu Original Thurlow-XFVGG,2.0,4.0,1958
3,Fanny Bay Oyster Bar & Shellfish Market-Ufhxn,2.0,4.5,1898
4,Sushi Jin-iMtUs,3.0,4.5,1874
5,Hawksworth Restaurant-70D_r,3.0,4.0,1844
6,Joe Fortes Seafood & Chop House-2cXOM,3.0,4.0,1818
7,Forage-t-soD,2.0,4.0,1672
8,Blue Water Cafe-gt1BS,4.0,4.5,1660
9,JOEY Burrard-nV-Mk,2.0,4.0,1632
10,The Flying Pig-NdEPf,2.0,4.0,1608
11,Zefferelli's-BUFt4,2.0,4.0,1594
12,Jam Cafe on Beatty-Ljdbt,2.0,4.5,1580
13,Chambar-_4R46,3.0,4.0,1580
14,Medina Cafe-VPqWL,2.0,4.0,1572
15,Robba da Matti-htvl5,3.0,4.0,1558
16,Gotham Steakhouse & Bar-cY7rI,4.0,4.0,1472
17,The Mexican Antojitos Y Cantina-AEyYL,2.0,4.5,1454
18,OEB Breakfast Co. Yaletown-QmkGD,2.0,4.5,1432
19,Jinya Ramen Bar - Vancouver-8-l4x,2.0,4.0,1426
20,Rodney's Oyster House-xYDUA,2.0,4.0,1418
21,Hy's Steakhouse & Cocktail Bar-LCQNN,4.0,4.0,1406
22,Fable Diner-uonaI,2.0,4.0,1340
23,La Taqueria Pinche Taco Shop-6iOAg,2.0,4.0,1310
24,Uma Sushi-4118A,3.0,4.5,1282
25,Manoush'eh-K1nbi,1.0,5.0,1272
26,Guu with Garlic-GmEeI,2.0,4.5,1258
27,The Cascade Room-7mC73,2.0,4.0,1230
28,Cactus Club Cafe-jKO4O,2.0,4.0,1212
29,Minami-gV9lr,3.0,4.0,1198
30,Cioppino's Mediterranean Grill-RIb01,4.0,4.5,1196
31,Boulevard-DJplk,3.0,4.0,1196
32,Tom Sushi-o5YLd,2.0,4.5,1194
33,Miku-4EV_Z,3.0,4.5,1186
34,Zarak By Afghan Kitchen-piwi7,,4.5,1178
35,Saku-XAH2H,2.0,4.5,1170
36,Hokkaido Ramen Santouka-nkDZY,2.0,4.0,1170
37,Maizal RMF-FFVXF,2.0,4.5,1166
38,Score on Davie-MimKL,2.0,4.5,1164
39,Earnest Ice Cream-zXNIn,2.0,4.5,1142
40,Botanist-QzZfj,3.0,4.5,1126
41,CinCin Ristorante + Bar-0Bvst,3.0,4.0,1120
42,Elephant Garden Creamery-JoaCH,1.0,4.5,1106
43,AJ's Brooklyn Pizza Joint-r-njw,2.0,4.5,1086
44,49th Parallel Coffee-NnaE4,1.0,4.0,1080
45,Kingyo-crM1i,2.0,4.5,1078
46,Saku-iid0V,2.0,4.5,1070
47,Ramen Danbo-jMz_y,2.0,4.5,1066
48,Delhi 6 Indian Bistro-usO5e,2.0,4.5,1046
49,AnnaLena-WAKwi,4.0,4.5,1038
50,Unchai Thai Restaurant-wyckj,,4.5,1036
51,Their There-tliWL,2.0,4.0,1028
52,Maruhachi Ra-men-MELmr,2.0,4.5,1028
53,Afghan Horsemen Restaurant-1tJ25,2.0,4.0,1022
54,Passion8 Dessert Cafe--HfxE,2.0,4.0,1014
55,Maenam-ztP4E,2.0,4.0,1014
56,Fable Kitchen-p5thT,2.0,4.5,1014
57,Yu Shang Hot Pot-yodp8,,4.5,1012
58,Gyu-Kaku Japanese BBQ-GZKia,2.0,4.0,1012
59,Marulilu Cafe-NensK,2.0,4.0,1010
60,Hello Nori-RckRm,2.0,4.5,1010
61,Vij's Restaurant-raZ-N,3.0,4.0,1008
62,Sura Korean Cuisine-rcLuo,2.0,4.0,1004
63,Nuba in Gastown-IKWsL,3.0,4.0,996
64,Burgoo Bistros-KDpED,2.0,4.0,994
65,Ramen Danbo-D1gkF,2.0,4.0,992
66,Phnom Penh-yeNen,2.0,4.0,986
67,Novo Italian-SWK2k,2.0,4.0,974
68,Elisa-rVuC9,4.0,4.0,972
69,Black Rice Izakaya-8HH7x,2.0,4.0,968
70,Tasty Indian Bistro-UwQyc,2.0,4.0,962
71,Indian Roti Kitchen-pJge_,2.0,4.5,962
72,Shizen Ya-as2xQ,2.0,4.0,960
73,Ancora Waterfront Dining and Patio-uuXia,4.0,4.0,954
74,Seaport City Seafood Restaurant-F5wxg,,4.5,952
75,Tavola-DkKH_,3.0,4.5,940
76,Caveman Cafe-ljnja,2.0,4.5,932
77,Cactus Club Cafe-aB_wf,2.0,4.0,932
78,Cardero's Restaurant & Marine Pub-fQgcJ,3.0,4.0,930
79,Chi Vegan-LqzeN,2.0,4.0,928
80,Suika-umv8z,2.0,4.0,926
81,Nightingale-hDQmM,3.0,4.0,922
82,Kosoo-OHMv-,2.0,4.5,914
83,Maxine's Cafe & Bar-lQuQy,2.0,4.5,912
84,Bodega On Main-a_uX_,2.0,4.0,906
85,Gurkha Himalayan Kitchen-V4PAa,2.0,4.0,904
86,Oddfish-QV4DG,3.0,4.0,894
87,Jam Cafe-wsp2h,2.0,4.5,888
88,Toshi Sushi-cD-yI,2.0,4.0,880
89,Patisserie Lebeau-A2Lly,2.0,4.5,876
90,Nuba - Mount Pleasant-8gFXr,2.0,4.0,874
91,La Cigale French Bistro-WWfnt,2.0,4.0,872
92,Chewies Steam & Oyster Bar - Kits-M4jkJ,2.0,3.5,870
93,Anh and Chi-l184Y,2.0,4.0,870
94,Beta5 Chocolates-EITgm,2.0,4.5,866
95,Five Sails Restaurant-OUzfO,4.0,4.5,862
96,Burgoo Bistro-w4akE,2.0,4.0,860
97,The Sandbar Seafood Restaurant-0d9r3,3.0,3.5,858
