"",name,station_id,rating,price,lat_long,distance,source,id,fsq_id
0,La Taqueria Pinche Taco Shop,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",169.517456,yelp,6iOAgzJ0DRZNSKA3FSrrOg,NaN
1,Saku,7a19c49f486d7c0c02b3685d7b240448,4.5,$$,"49.262487,-123.114397",178.845344,yelp,XAH2HpuUUtu7CUO26pbs4w,NaN
2,Uma Sushi,7a19c49f486d7c0c02b3685d7b240448,4.5,$$$,"49.262487,-123.114397",152.157897,yelp,4118Aq9LbkvUr4s719uUkA,NaN
3,Hokkaido Ramen Santouka,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",191.044234,yelp,nkDZY5xqihF3XtZMzzfqqg,NaN
4,iDen & Quan Ju De Beijing Duck House,7a19c49f486d7c0c02b3685d7b240448,3.5,NaN,"49.262487,-123.114397",263.641336,yelp,Zi8Ywk36Ws_4zjw2gjMMFA,NaN
5,Seaport City Seafood Restaurant,7a19c49f486d7c0c02b3685d7b240448,4.5,NaN,"49.262487,-123.114397",168.615262,yelp,F5wxgIiZE7LYQxgqhI483A,NaN
6,Heritage Asian Eatery,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",152.168308,yelp,gdSAYWUI2MTgrk08r_OZSg,NaN
7,Menya Raizo,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",133.678673,yelp,oHYOa9l5aLOQpJ8dF6sDmA,NaN
8,Peaceful Restaurant,7a19c49f486d7c0c02b3685d7b240448,3.5,$$,"49.262487,-123.114397",146.418009,yelp,AEOyRbQtYD3bmX1qJWvt4g,NaN
9,Marulilu Cafe,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",102.329817,yelp,NensKn1MSVU_rm-1Y6WlFA,NaN
10,Sushi California,7a19c49f486d7c0c02b3685d7b240448,3.5,$$,"49.262487,-123.114397",143.492170,yelp,mvCO6pRpfMB0_1GLlwgZRw,NaN
11,Cactus Club Cafe,7a19c49f486d7c0c02b3685d7b240448,3.5,$$,"49.262487,-123.114397",221.483933,yelp,u-tcnG8zdDG8QWYTctxyfg,NaN
12,Rogue Kitchen & Wetbar,7a19c49f486d7c0c02b3685d7b240448,3.5,$$,"49.262487,-123.114397",256.568025,yelp,JcxSnoXt1q6LdSEgwJsdRQ,NaN
13,Indian Roti Kitchen,7a19c49f486d7c0c02b3685d7b240448,4.5,$$,"49.262487,-123.114397",391.283162,yelp,pJge_LJ3NV8iQtrERe6AyQ,NaN
14,Yolks,7a19c49f486d7c0c02b3685d7b240448,3.5,$$,"49.262487,-123.114397",170.324037,yelp,bJKqZi70hu8g_ctZAAxtJw,NaN
15,Regal Mansion Cuisine Seafood Restaurant,7a19c49f486d7c0c02b3685d7b240448,3.5,NaN,"49.262487,-123.114397",225.674819,yelp,1ghN_fDAOTYW_9jlD6payg,NaN
