empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,lat_long
5,29,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,10th & Cambie,2023-09-21 19:03:51.469000,6,true,1695322925,"49.262487,-123.114397"
12,4,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,Yaletown-Roundhouse Station,2023-09-21 19:03:51.456000,0,true,1695322945,"49.274566,-123.121817"
13,13,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154,Dunsmuir & Beatty,2023-09-21 19:03:51.457000,1,true,1695322662,"49.279764,-123.110154"
11,5,66f873d641d448bd1572ab086665a458,49.260599,-123.113504,12th & Yukon (City Hall),2023-09-21 19:03:51.458000,4,true,1695322780,"49.260599,-123.113504"
9,7,485d4d24c803cfde829ab89699fed833,49.264215,-123.117772,8th & Ash,2023-09-21 19:03:51.477000,4,true,1695322949,"49.264215,-123.117772"
7,7,b07d513f87897cff7319a0e59d7e567c,49.270877,-123.115103,Spyglass & Seawall,2023-09-21 19:03:51.478000,0,true,1695322851,"49.270877,-123.115103"
6,6,d1c9556d92f329703229fb3e33899a3b,49.26893,-123.11813,Stamps Landing,2023-09-21 19:03:51.656000,0,true,1695323018,"49.26893,-123.11813"
16,4,95e624191c655f50e401d280cd39a9ad,49.271721,-123.104207,Ontario & Seawall,2023-09-21 19:03:51.656000,0,true,1695323022,"49.271721,-123.104207"
11,15,3e112f9fe877e0003780386359060ae6,49.287214,-123.11287,Canada Place,2023-09-21 19:03:51.654000,3,true,1695322939,"49.287214,-123.11287"
7,11,6993b3dbb0758927967592ea612a2b1e,49.282409,-123.118541,Granville & Georgia,2023-09-21 19:03:51.653000,5,true,1695322927,"49.282409,-123.118541"
13,13,bf8408067b0e0c963f3ff526977bcef3,49.287097,-123.118551,Pender & Burrard,2023-09-21 19:03:51.653000,2,true,1695322977,"49.287097,-123.118551"
5,16,d2244f1a81d317c76cabd65e81250835,49.273471,-123.118016,Marinaside & Davie,2023-09-21 19:03:51.646000,4,true,1695323018,"49.273471,-123.118016"
10,17,0b543fc4e694fe07a54dac48bb1b3390,49.282758,-123.122092,Robson & Hornby,2023-09-21 19:03:51.665000,11,true,1695322989,"49.282758,-123.122092"
9,12,fbb1d30d7f30b049873f5be5688563d4,49.28602,-123.116624,Hornby & Pender,2023-09-21 19:03:51.751000,8,true,1695322999,"49.28602,-123.116624"
4,16,7181df50ee1d1a05559399211382b7c8,49.279739,-123.116251,Homer & Robson (Vancouver Public Library),2023-09-21 19:03:51.752000,4,true,1695322931,"49.279739,-123.116251"
